Timestamp,PoorQuality,Attention,Meditation,Blink
20:51:53.005,25,31,92,1
20:51:53.519,61,33,42,0
20:51:54.021,86,45,26,0
20:51:54.523,97,62,62,1
20:51:55.024,22,41,85,1
20:51:55.524,6,54,14,0
20:51:56.025,23,32,69,1
20:51:56.525,92,46,38,0
20:51:57.025,92,46,38,0
20:51:57.526,91,74,9,1
20:51:58.026,69,48,65,0
20:51:58.527,68,5,53,0
20:51:59.027,88,62,45,0
20:51:59.527,21,75,86,0
20:52:00.028,35,40,77,1
20:52:00.528,28,48,88,1
20:52:01.028,42,14,86,1
20:52:01.529,17,76,55,1
20:52:02.029,60,92,45,1
20:52:02.529,95,46,56,0
20:52:03.030,65,85,7,0
